member_name,experiment_num,date,env_name,learning_rate,gamma,batch_size,epsilon_start,epsilon_end,epsilon_decay,avg_reward,peak_reward,std_reward,total_episodes,total_timesteps,observations
John Ouma,1,2025-11-12 17:52,ALE/Breakout-v5,0.0001,0.99,32,1.0,0.01,0.1,10.15,27.0,4.69973403502794,12448379,500000,
John Ouma,2,2025-11-12 19:25,ALE/Breakout-v5,0.0005,0.99,32,1.0,0.01,0.1,15.77,41.0,5.746050817735604,12448379,500000,
John Ouma,3,2025-11-12 20:36,ALE/Breakout-v5,5e-05,0.99,32,1.0,0.01,0.1,10.88,22.0,3.3890411623348573,12448379,500000,
John Ouma,4,2025-11-12 22:45,ALE/Breakout-v5,0.0001,0.995,32,1.0,0.01,0.1,8.39,24.0,3.7573794059157772,12448379,500000,
John Ouma,5,2025-11-12 23:54,ALE/Breakout-v5,0.0001,0.95,32,1.0,0.01,0.1,14.31,32.0,4.307423824050751,12448379,500000,
John Ouma,6,2025-11-13 01:46,ALE/Breakout-v5,0.0001,0.99,64,1.0,0.01,0.1,12.13,29.0,3.971536226701199,12448379,500000,
John Ouma,7,2025-11-13 02:41,ALE/Breakout-v5,0.0001,0.99,16,1.0,0.01,0.1,14.68,26.0,4.282242403227543,12448379,500000,
John Ouma,8,2025-11-13 03:45,ALE/Breakout-v5,0.0001,0.99,32,1.0,0.05,0.2,11.8,29.0,2.979932885150268,12448379,500000,
John Ouma,9,2025-11-13 04:50,ALE/Breakout-v5,0.0001,0.99,32,1.0,0.01,0.05,14.38,29.0,4.428950214215553,12448379,500000,
John Ouma,10,2025-11-13 07:15,ALE/Breakout-v5,0.001,0.95,64,1.0,0.01,0.05,24.79,55.0,8.061383255992732,12448379,500000,
